시군명,설립구분명,시설명,전화번호,팩스번호,소재지지번주소,소재지도로명주소,소재지우편번호,WGS84위도,WGS84경도
가평군,공립,가평유치원,031-582-4982,031-582-4983,경기도 가평군 가평읍 읍내리 553번지 가평유치원,경기도 가평군 가평읍 향교로 23-3,12417,37.8304855886,127.5075514810
가평군,사립,청심유치원,031-589-9910,031-589-9917,경기도 가평군 설악면 송산리 286번지 청심유치원 청심유치원,경기도 가평군 설악면 미사리로286번길 16,12461,37.6845827011,127.5229654820
가평군,공립,상면초등학교병설유치원,031-584-2927,031-584-4742,경기도 가평군 상면 임초리 445-3번지 상면초등학교,경기도 가평군 상면 청군로 700-22,12447,37.7757901709,127.3711993679
가평군,공립,상천초등학교병설유치원,031-585-1366,031-585-1365,경기도 가평군 청평면 상천리 1299-4번지 상천초등학교,경기도 가평군 청평면 상천역로19번길 38,12449,37.7706025752,127.4559794119
가평군,공립,율길초등학교병설유치원,031-584-6005,031-585-4371,경기도 가평군 상면 율길리 454-1번지 율길초등학교 병설유치원,경기도 가평군 상면 청군로 2090,12441,37.8374192084,127.2883726006
가평군,사립,동산유치원,031-584-6057,031-584-7057,경기도 가평군 청평면 청평리 470-12번지,경기도 가평군 청평면 청평중앙로 39-1,12452,37.7378281562,127.4187615325
가평군,공립,가평마장초등학교병설유치원,031-581-2755,031-582-2757,경기도 가평군 가평읍 마장리 357번지 가평마장초등학교,경기도 가평군 가평읍 각담말길 15,12409,37.8599522344,127.5144681238
가평군,공립,대성초등학교병설유치원,031-584-0794,031-584-9226,경기도 가평군 청평면 대성리 399-16번지 대성초등학교,경기도 가평군 청평면 경춘로 75,12457,37.6827196794,127.3775632570
가평군,공립,미원초등학교병설유치원,031-584-8718,031-584-7316,경기도 가평군 설악면 신천리 439-2번지 미원초등학교,경기도 가평군 설악면 신천중앙로120번길 11,12465,37.6794161295,127.4901687622
가평군,공립,방일초등학교병설유치원,031-585-4661,031-584-4108,경기도 가평군 설악면 방일리 50번지 방일초등학교,경기도 가평군 설악면 양방가루재길 76,12472,37.6290950508,127.4993897462
가평군,공립,상색초등학교병설유치원,031-582-2251,031-582-4308,경기도 가평군 가평읍 상색리 171-2번지 상색초등학교,경기도 가평군 가평읍 태봉두밀로 34-31,12426,37.8051831310,127.4848848704
가평군,공립,연하초등학교병설유치원,031-585-2006,031-585-1723,경기도 가평군 상면 연하리 452-1번지 연하초등학교,경기도 가평군 상면 비룡로 2199-19,12444,37.8029852943,127.3426748976
가평군,공립,조종초등학교병설유치원,031-585-0584,031-584-2337,경기도 가평군 조종면 현리 276번지 조종초등학교,경기도 가평군 조종면 조종새싹로 13-9,12437,37.8209863258,127.3487882533
가평군,공립,청평초등학교병설유치원,031-585-0245,031-584-0282,경기도 가평군 청평면 청평리 395번지 청평초등학교 병설유치원,경기도 가평군 청평면 잠곡로 27,12452,37.7375481592,127.4215053980
가평군,공립,목동초등학교병설유치원,031-581-0612,031-581-0651,경기도 가평군 북면 이곡리 13-45번지 목동초등학교 병설유치원,경기도 가평군 북면 석장모루길 13,12407,37.8797004527,127.5486018306
고양시,공립,장촌초등학교병설유치원,031-914-0471,031-914-0475,경기도 고양시 일산서구 대화동 2269번지,경기도 고양시 일산서구 호수로856번길 43,10383,37.6728236784,126.7485706488
고양시,공립,저동초등학교병설유치원,031-914-0384,031-914-0385,경기도 고양시 일산동구 정발산동 688번지,경기도 고양시 일산동구 대산로11번길 37,10362,37.6678486198,126.7741235603
고양시,공립,주엽초등학교병설유치원,031-912-0026,031-912-0035,경기도 고양시 일산서구 주엽동 100번지 주엽초등학교,경기도 고양시 일산서구 강선로 29,10385,37.6670761012,126.7617151178
고양시,공립,중산초등학교병설유치원,031-977-4193,031-977-4197,경기도 고양시 일산동구 중산동 1575-3번지 중산초등학교,경기도 고양시 일산동구 탄중로 373,10332,37.6900393865,126.7836243254
고양시,공립,지축초등학교병설유치원,02-381-7159,02-381-7725,경기도 고양시 덕양구 지축동 654-1번지,경기도 고양시 덕양구 지축초교길 45,10583,37.6517746917,126.9142787928
고양시,공립,풍동숲속유치원,031-932-9015,031-932-9062,경기도 고양시 일산동구 풍동 1243번지 풍동숲속유치원,경기도 고양시 일산동구 숲속마을2로 119,10303,37.6730767848,126.8001553250
고양시,공립,풍산초등학교병설유치원,031-908-8477,031-908-8476,경기도 고양시 일산동구 풍동 1284번지 풍산초등학교,경기도 고양시 일산동구 숲속마을로 51,10307,37.6666018310,126.7966820621
고양시,공립,한내유치원,031-924-2713,031-924-2714,경기도 고양시 일산서구 대화동 882번지 고양한내초등학교 한내유치원,경기도 고양시 일산서구 고양대로255번길 27,10222,37.6684345288,126.7356872184
고양시,공립,한산초등학교병설유치원,031-916-8455,031-916-8456,경기도 고양시 일산서구 덕이동 1614번지 한산초등학교,경기도 고양시 일산서구 하이파크1로 56,10236,37.6960437984,126.7538771389
고양시,공립,행주초등학교병설유치원,031-979-3045,031-624-4606,경기도 고양시 덕양구 행주내동 175번지 행주초등학교,경기도 고양시 덕양구 행주로17번길 70,10440,37.6029397710,126.8246818230
고양시,공립,호곡초등학교병설유치원,031-918-7083,031-918-7087,경기도 고양시 일산서구 탄현동 117-1번지 호곡초등학교,경기도 고양시 일산서구 탄현로 109,10239,37.7008726553,126.7668784103
고양시,공립,흥도유치원,031-968-6875,031-968-6992,경기도 고양시 덕양구 도내동 1100번지 흥도유치원,경기도 고양시 덕양구 도래울1로 83,10551,37.6278593587,126.8717587052
고양시,사립,강선예일유치원,031-912-0574,031-912-0574,경기도 고양시 일산서구 주엽동 63번지 강선마을,,10361,37.6697436595,126.7665123060
고양시,사립,그네와시소유치원,031-975-0078,031-975-0079,경기도 고양시 일산동구 중산동 1599번지,경기도 고양시 일산동구 탄중로425번길 39-16,10338,37.6858247498,126.7798161866
고양시,사립,꿈나무유치원,031-915-3297,031-915-3497,경기도 고양시 일산서구 일산동 1069번지 후곡마을3단지아파트,,10374,37.6811870808,126.7670994945
고양시,사립,나래유치원,031-963-3579,031-963-1493,경기도 고양시 덕양구 고양동 8-4번지,경기도 고양시 덕양구 혜음로 85,10272,37.7079849681,126.9018963221
고양시,사립,늘푸른무지개유치원,031-972-7112,031-970-0955,경기도 고양시 덕양구 토당동 897-4번지 무지개유치원,경기도 고양시 덕양구 지도로104번길 39,10511,37.6267994481,126.8259275932
고양시,사립,능곡성당유치원,031-974-4525,031-974-4528,경기도 고양시 덕양구 토당동 292-39번지,경기도 고양시 덕양구 토당로78번길 7-14,10508,37.6228884790,126.8195368973
고양시,사립,숲속유치원,031-968-1777,031-968-6691,경기도 고양시 덕양구 도내동 839-8번지,경기도 고양시 덕양구 흥도로 240,10554,37.6280231626,126.8577568121
고양시,사립,씨알유치원,031-967-7725,031-967-7715,경기도 고양시 덕양구 원흥동 425-8번지,경기도 고양시 덕양구 고양대로1670번길 77-22,10552,37.6454418399,126.8677846834
고양시,사립,아란유치원,031-913-0587,031-913-9987,경기도 고양시 일산서구 주엽동 38번지 강선마을,,10360,37.6734065248,126.7689943966
고양시,사립,아리솔유치원,031-977-5111,031-977-5113,경기도 고양시 일산동구 중산동 13-12번지,경기도 고양시 일산동구 약산길 45-1,10319,37.6820987771,126.7917872093
고양시,사립,아이사랑유치원,031-979-2031,031-979-2030,경기도 고양시 덕양구 화정동 946번지 문정빌딩,경기도 고양시 덕양구 화신로 319,10501,37.6325211272,126.8262652211
고양시,사립,아이젠유치원,031-978-1077,031-978-1076,경기도 고양시 덕양구 토당동 259번지 대림아파트,,10506,37.6264694376,126.8164015968
고양시,사립,어울림유치원,031-964-1007,031-964-1006,경기도 고양시 덕양구 성사동 731번지 신원당마을,,10469,37.6516877357,126.8344580202
고양시,사립,엄지유치원,031-970-7416,031-970-7418,경기도 고양시 덕양구 행신동 754번지,경기도 고양시 덕양구 용현로35번길 8-16,10525,37.6165513432,126.8355113757
고양시,사립,엔젤숲유치원,02-371-0098,02-371-0097,경기도 고양시 덕양구 지축동 418-7번지,경기도 고양시 덕양구 일영로 116-7,10584,37.6565818905,126.9212539018
고양시,사립,연꽃유치원,031-964-4365,031-965-4958,경기도 고양시 덕양구 성사동 488-5번지 연꽃유치원(원당사대.불.조),경기도 고양시 덕양구 마상로 175-6,10466,37.6576357729,126.8420941262
고양시,사립,예담유치원,031-913-3602,031-913-3602,경기도 고양시 일산서구 일산동 1087번지 후곡마을,,10360,37.6751839916,126.7702923781
고양시,사립,예사랑유치원,031-966-8323,031-964-0148,경기도 고양시 덕양구 화정동 891번지 충현유치원,경기도 고양시 덕양구 화중로138번길 27,10477,37.6393524615,126.8337607580
고양시,사립,예은유치원,031-917-6742,031-917-6743,경기도 고양시 일산서구 대화동 2167번지,경기도 고양시 일산서구 강성로214번길 41-4,10377,37.6766013830,126.7540441479
고양시,사립,예일유치원,031-965-9659,031-965-0230,경기도 고양시 덕양구 성사동 500-13번지 은진빌딩,경기도 고양시 덕양구 마상로154번길 11-8,10463,37.6578300582,126.8392378710
고양시,사립,유경유치원,031-967-8393,031-967-8398,경기도 고양시 덕양구 화정동 851번지 달빛마을,,10473,37.6464651046,126.8365660405
고양시,사립,은선유치원,031-902-3292,031-902-3295,경기도 고양시 일산동구 장항동 881번지 호수마을,,10423,37.6482146499,126.7778211108
고양시,사립,은정유치원,031-902-0011,031-902-0013,경기도 고양시 일산동구 백석동 1183번지 백송마을,,10419,37.6496038302,126.7884004685
고양시,사립,이삭유치원,031-973-9433,031-973-9334,경기도 고양시 덕양구 행신동 953번지 햇빛마을,,10494,37.6228000478,126.8390428321
고양시,사립,이튼키즈유치원,031-974-1707,031-974-1707,경기도 고양시 덕양구 행신동 767번지 무원마을,,10527,37.6134455312,126.8373191618
고양시,사립,인혜유치원,031-917-6701,031-919-3475,경기도 고양시 일산서구 주엽동 38번지 강선마을,,10360,37.6734065248,126.7689943966
고양시,사립,자연유치원,031-913-0141,031-913-0142,경기도 고양시 일산서구 탄현동 1477번지 탄현마을,,10243,37.6960149624,126.7661227918
고양시,사립,좋은나무유치원,031-969-5123,031-969-5134,경기도 고양시 덕양구 원당동 644번지,경기도 고양시 덕양구 원당로393번길 21,10290,37.6830963880,126.8483196215
고양시,사립,준성자연유치원,031-962-8222,031-963-8776,경기도 고양시 덕양구 관산동 246-3번지 준성아파트,,10287,37.6879873512,126.8616761160
고양시,사립,진세유치원,031-966-2180,031-966-2683,경기도 고양시 덕양구 성사동 730번지 신원당마을,,10469,37.6516355310,126.8357612884
고양시,사립,창의유치원,031-965-8594,031-966-8595,경기도 고양시 일산동구 식사동 602-11번지,경기도 고양시 일산동구 고양대로1080번길 10,10304,37.6684889807,126.8097679552
고양시,사립,청림유치원,031-973-0260,031-970-7827,경기도 고양시 덕양구 토당동 863-7번지 호은상가,경기도 고양시 덕양구 지도로13번길 20-24,10510,37.6197234157,126.8236789863
고양시,공립,고양관산초등학교병설유치원,031-969-8438,031-969-8439,경기도 고양시 덕양구 관산동 995번지 고양관산초등학교,경기도 고양시 덕양구 통일로726번길 130,10286,37.6919300529,126.8663398441
고양시,공립,고양백석초등학교병설유치원,031-901-4231,031-901-4234,경기도 고양시 일산동구 백석동 1183번지,경기도 고양시 일산동구 백석로 103,10419,37.6496038302,126.7884004685
고양시,공립,고양오금유치원,02-381-7383,02-381-7380,경기도 고양시 덕양구 오금동 581번지 고양오금유치원,경기도 고양시 덕양구 오금1로 10,10578,37.6617415042,126.8951476955
고양시,공립,고양일산유치원,031-975-6523,031-975-6593,경기도 고양시 일산서구 일산동 630-1번지 38,경기도 고양시 일산서구 일중로15번길 38,10353,37.6825480954,126.7719358424
고양시,공립,금계초등학교병설유치원,031-907-0246,031-902-4505,경기도 고양시 일산동구 백석동 1192번지 금계초등학교,경기도 고양시 일산동구 강촌로 90,10420,37.6498301317,126.7840712005
고양시,공립,내유초등학교병설유치원,031-962-4632,031-962-3242,경기도 고양시 덕양구 내유동 431-7번지 내유초등학교,경기도 고양시 덕양구 통일로 1132,10264,37.7154001034,126.8515869256
고양시,공립,능곡초등학교병설유치원,031-972-0358,031-970-1406,경기도 고양시 덕양구 토당동 278-2번지 능곡초등학교 병설유치원,경기도 고양시 덕양구 토당로67번길 66,10509,37.6243336929,126.8161237423
고양시,공립,다솜초등학교병설유치원,031-932-8559,031-932-8562,경기도 고양시 일산동구 풍동 1232번지 다솜초등학교,경기도 고양시 일산동구 숲속마을로 139,10303,37.6722956486,126.7965189549
고양시,공립,대곡초등학교병설유치원,031-965-5492,031-966-8707,경기도 고양시 덕양구 대장동 226-2번지,경기도 고양시 덕양구 대주로 138-50,10456,37.6408787338,126.8124906903
고양시,공립,대화초등학교병설유치원,031-918-3192,031-911-1459,경기도 고양시 일산서구 대화동 1643번지,경기도 고양시 일산서구 송포로 50,10218,37.6711840178,126.7324129692
고양시,공립,화중초등학교병설유치원,031-967-8361,031-963-8369,경기도 고양시 덕양구 화정동 871번지 화중초등학교,경기도 고양시 덕양구 화중로152번길 43,10474,37.6405537186,126.8358427656
고양시,사립,경기유치원,02-964-9229,031-962-7114,경기도 고양시 덕양구 대자동 305번지,경기도 고양시 덕양구 통일로542번길 27,10282,37.6813231398,126.8894172425
고양시,사립,꿈나라유치원,02-371-3394,02-8381-7578,경기도 고양시 덕양구 신원동 646-1번지,경기도 고양시 덕양구 신원로1길 61,10570,37.6611855299,126.8883712456
고양시,사립,노벨유치원,031-904-2966,031-902-4403,경기도 고양시 일산동구 마두동 794번지 강촌마을,,10415,37.6552940931,126.7814374094
고양시,사립,늘푸름유치원,031-911-9810,031-915-7655,경기도 고양시 일산서구 일산동 1066번지 후곡마을,,10374,37.6797700093,126.7658230106
고양시,사립,아이비유치원,031-971-6007,031-972-2007,경기도 고양시 덕양구 행신동 1111번지 아이비에듀파크,경기도 고양시 덕양구 소원로266번길 2-1,10535,37.6144736333,126.8514745092
고양시,사립,안젤라유치원,031-906-3004,031-906-5004,경기도 고양시 일산동구 마두동 991번지 안젤라유치원,경기도 고양시 일산동구 강송로225번길 39,10410,37.6573800278,126.7791533608
고양시,사립,에꼴데쁘띠유치원,031-968-1400,031-968-0405,경기도 고양시 일산동구 식사동 1533번지 위시티휴먼빌,,10323,37.6772673567,126.8115929134
고양시,사립,엔젤유치원,031-979-0633,031-973-0634,경기도 고양시 덕양구 토당동 85-2번지 신현빌딩,경기도 고양시 덕양구 지도로103번길 31-6,10508,37.6256936795,126.8215916670
고양시,사립,연세유치원,031-915-8621,031-915-8622,경기도 고양시 일산서구 탄현동 1480번지 탄현마을,,10249,37.6973746991,126.7702911048
고양시,사립,샘터한우리유치원,031-978-6057,031-978-6059,경기도 고양시 덕양구 충장로 118(행신동)982번지 샘터마을 2단지내 ,,10518,,
고양시,사립,선아유치원,031-913-8569,031-913-8569,경기도 고양시 일산서구 주엽동 120번지 문촌마을,,10385,37.6673823874,126.7573278219
고양시,사립,성가정유치원,031-979-4077,031-979-4079,경기도 고양시 덕양구 행신동 763번지,경기도 고양시 덕양구 용현로5번길 36,10526,37.6139467307,126.8349509124
고양시,사립,성바오로유치원,031-938-0922,031-938-0924,경기도 고양시 덕양구 행신동 208-15번지,경기도 고양시 덕양구 중앙로468번길 69,10492,37.6218613762,126.8444253224
고양시,사립,세화유치원,031-911-3335,031-911-3337,경기도 고양시 일산서구 주엽동 8번지 문촌마을,,10378,37.6762118984,126.7573554039
고양시,사립,솔거유치원,031-969-0101,031-969-0102,경기도 고양시 덕양구 화정동 936번지 은빛마을6단지,,10496,37.6367151689,126.8293142522
고양시,공립,덕은초등학교병설유치원,02-3158-3321,02-3159-9148,경기도 고양시 덕양구 화전동 274-6번지 덕은초등학교,경기도 고양시 덕양구 중앙로176번길 18-4,10538,37.6033072632,126.8712808882
고양시,공립,덕이초등학교병설유치원,031-914-2118,031-914-6943,경기도 고양시 일산서구 덕이동 528번지,경기도 고양시 일산서구 덕이로 104,10236,37.6925446304,126.7480497969
고양시,공립,도래울초등학교병설유치원,031-963-6898,031-963-2294,경기도 고양시 덕양구 도내동 1012번지 도래울초등학교,경기도 고양시 덕양구 도래울3로 5,10551,37.6314166114,126.8703363710
고양시,공립,목암초등학교병설유치원,031-962-4462,031-962-4419,경기도 고양시 덕양구 고양동 722번지 목암초등학교 병설유치원,경기도 고양시 덕양구 푸른마을로 63,10270,37.7137353700,126.9045877235
고양시,공립,백마초등학교병설유치원,031-902-9616,031-901-8607,경기도 고양시 일산동구 마두동 718번지 백마초등학교 병설유치원,경기도 고양시 일산동구 일산로 230,10417,37.6575460271,126.7909841294
고양시,공립,벽제초등학교병설유치원,031-963-3147,031-962-4681,경기도 고양시 일산동구 사리현동 122-2번지 벽제초등학교,경기도 고양시 일산동구 공릉천로 13,10260,37.6957392777,126.8433384770
고양시,공립,삼송초등학교병설유치원,02-381-8288,02-381-6552,경기도 고양시 덕양구 원흥동 675번지,경기도 고양시 덕양구 세솔로 150,10557,37.6539897601,126.8823082882
고양시,공립,서정초등학교병설유치원,031-979-7508,031-979-7506,경기도 고양시 덕양구 행신동 1097번지,경기도 고양시 덕양구 소원로 251,10534,37.6140825927,126.8486777694
