시군명,사업장명,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,폐업일자,소재지시설전화번호,소재지면적정보,도로명우편번호,소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도,업태구분명정보,X좌표값,Y좌표값,문화체육업종명,공사립구분명,보험가입여부코드,회원모집총인원
가평군,해동검도 가평본관,20160304,,13,영업중,,031-581-5730,,12413,경기도 가평군 가평읍 보납로 1,경기도 가평군 가평읍 읍내리 506-6 ,12413,37.8314648378,127.5106707435,검도,244885.791971219    ,481119.125141102    ,체육도장업,사립,Y,
가평군,혜성운암태권도장,20040325,,13,영업중,,031-581-5454,,12417,경기도 가평군 가평읍 석봉로153번길 12,경기도 가평군 가평읍 대곡리 285-9 ,477804,37.8287339298,127.5097499074,태권도,244805.937167113    ,480807.67664481     ,체육도장업,사립,,
가평군,명지체육관,19940221,,13,영업중,,031-582-9337,,12420,경기도 가평군 가평읍 굴다리길 2 (청구서적),경기도 가평군 가평읍 대곡리 232-1번지 ,12420,37.8262187096,127.5149652421,합기도,245263.585171417    ,480536.077150398    ,체육도장업,사립,,
가평군,가평검도관,20031004,,13,영업중,,,,12412,"경기도 가평군 가평읍 가화로 130, 이니스프리 가평점 3층",경기도 가평군 가평읍 읍내리 446-6 이니스프리 가평점 ,12412,37.8311851768,127.5131707541,검도,244920.63809047     ,481004.733958364    ,체육도장업,사립,,
가평군,화랑태권도체육관,19970820,,13,영업중,,031-584-6378,,12453,경기도 가평군 청평면 잠곡로 22-1,경기도 가평군 청평면 청평리 403-10 ,477813,37.7366198324,127.4212692652,태권도,237056.33286146     ,470542.661676331    ,체육도장업,사립,,
가평군,용인대태권도아카데미,19990728,,13,영업중,,031-581-5577,,12414,경기도 가평군 가평읍 석봉로191번길 16,경기도 가평군 가평읍 읍내리 584-7 ,477801,37.8322041238,127.5080684885,태권도,244664.38864194     ,481180.985591382    ,체육도장업,사립,,
가평군,"궁중무술,합기도 가람체육관",19941117,,13,영업중,,031-584-3070,,12452,경기도 가평군 청평면 잠곡로 11,경기도 가평군 청평면 청평리 416 ,477813,37.7371507995,127.4200543090,합기도,236959.859211579    ,470605.72719054     ,체육도장업,사립,,
가평군,설악현무도장,19990208,,13,영업중,,031-584-8201,,12465,경기도 가평군 설악면 자잠로 28-8,경기도 가평군 설악면 신천리 443-7 ,477853,37.6796272332,127.4896799853,태권도,243132.080836753    ,464245.763731644    ,체육도장업,사립,Y,
가평군,한양대 송라 태권도장,20111013,,13,영업중,,031-584-4195,,477815,경기도 가평군 청평면 경춘로 807-18,경기도 가평군 청평면 청평리 470-13 ,477815,37.7381223484,127.4173180048,태권도,236737.586196265    ,470680.107776233    ,체육도장업,사립,Y,70
가평군,가평유도체육관,20150625,,13,영업중,,031-582-2353,,12420,경기도 가평군 가평읍 오리나무길 33,경기도 가평군 가평읍 대곡리 173-7번지,477804,37.8244032,127.5140522,유도,245195.452700566,480337.297652626,체육도장업,사립,Y,
가평군,동원 태권 스쿨,20130124,,13,영업중,,031-585-8345,,12437,"경기도 가평군 조종면 조종새싹로 46, 미림이네",경기도 가평군 조종면 현리 231-17 미림이네 ,12437,37.8228243324,127.3492185644,태권도,230746.33369100000  ,480391.98067700000  ,체육도장업,사립,,
가평군,힘찬체육도장,19920702,,13,영업중,,031-584-4062,,12437,경기도 가평군 조종면 조종새싹로 30,경기도 가평군 조종면 현리 283-3 ,12437,37.8213378174,127.3497328942,태권도,230881.01764400000  ,479203.16696900000  ,체육도장업,사립,,
가평군,천동관 경찰 합기도,20200402,,13,영업중,,,,12437,"경기도 가평군 조종면 연인산로 10, 해송빌딩 1층",경기도 가평군 조종면 현리 253-15 해송빌딩 ,12437,37.8217358685,127.3508910529,합기도,230652.332985589    ,479836.306119864    ,체육도장업,사립,,
가평군,충효체육관,20020226,,13,영업중,,031-582-9466,,12418,경기도 가평군 가평읍 석봉로 168,경기도 가평군 가평읍 읍내리 493-6 ,477801,37.8301218488,127.5109773701,태권도,244913.90994894     ,480961.440024947    ,체육도장업,사립,,
가평군,튼튼체육관,20010804,,13,영업중,,031-582-6943,,12418,경기도 가평군 가평읍 석봉로 146,경기도 가평군 가평읍 읍내리 329-21 ,477801,37.8281479041,127.5116247916,태권도,244974.362006406    ,480743.69598523     ,체육도장업,사립,,
가평군,가평아트복싱체육관,20141224,,03,폐업,20170811,,,12419,경기도 가평군 가평읍 가화로 104-1,경기도 가평군 가평읍 읍내리 475-1번지,477805,37.8289879,127.5142997,,245212.733716023,480846.13394724,체육도장업,사립,,
가평군,동원체육관,19990917,,03,폐업,20130121,585-0516,,477834,경기도 가평군 하면 조종새싹로 20-9,경기도 가평군 하면 현리 277-5번지,477831,37.8203714,127.3495349,,230785.78715900000,480129.85420200000,체육도장업,사립,,
가평군,주먹이운다,20181224,,03,폐업,20210825,031-585-0666,,12467,"경기도 가평군 설악면 신천중앙로 129, 3층",경기도 가평군 설악면 신천리 458-4 ,12467,37.6778605952,127.4895328042,권투,243116.885553654    ,464049.864542179    ,체육도장업,사립,,0
가평군,청평종합체육관,19891227,,03,폐업,20120104,584-0654,,477815,경기도 가평군 청평면 여울길 25,경기도 가평군 청평면 청평리 397-21번지,477813,37.7371924,127.4201987,,236974.162203882,470615.457191994,체육도장업,사립,,
가평군,왕호체육관,19891227,,03,폐업,20101020,585-0169,,,,경기도 가평군 하면 현리 264번지,477831,37.8195667,127.3474528,,,,체육도장업,사립,N,
가평군,청평 권투체육관,20100623,,03,폐업,20110803,031-585-7989,,477815,경기도 가평군 청평면 청평중앙로 4-1,경기도 가평군 청평면 청평리 438-26번지,477815,37.7357131,127.4155619,,236566.11244831,470451.68098414,체육도장업,사립,,
가평군,가평경기태권도체육관,20030419,,03,폐업,20160811,582-3487,,12418,경기도 가평군 가평읍 연인2길 12,경기도 가평군 가평읍 읍내리 460번지,477801,37.8300964,127.5121378,,245022.798082033,480967.478779119,체육도장업,사립,,
가평군,설악태권도,20110307,,03,폐업,20170123,,,12465,경기도 가평군 설악면 신천중앙로132번길 8 (세계기독교통일신령협회청심교회),경기도 가평군 설악면 신천리 447-1번지,12465,37.6788063,127.4894732,,243115.605351589,464164.533751684,체육도장업,사립,,50
가평군,태산태권도전문도장,20100225,,03,폐업,20110803,584-4847,,477815,경기도 가평군 청평면 여울길 21-2,경기도 가평군 청평면 청평리 417번지,477815,37.7372455,127.4204486,,236997.961730065,470622.558144817,체육도장업,사립,,
가평군,현리검도관,20120220,,03,폐업,20171114,070-4204-1912,,12438,경기도 가평군 하면 청군로 1285,경기도 가평군 하면 현리 296-3번지,477834,37.8188406,127.3462115,검도,230483.66414200000,479954.17887000000,체육도장업,사립,,
